timestamp,latent_dim,hidden_dim,num_epochs,batch_size,final_loss
1765889232.544618,8,32,10,64,0.144485
1765901829.142106,8,64,10,64,0.116298
1765916633.641535,8,128,10,64,0.099092
1765920217.445636,16,32,10,64,0.145858
1765933477.640808,16,64,10,64,0.115652
1765948488.041225,16,128,10,64,0.089426
1765953502.147614,32,32,10,64,0.142773
